numStations=3
Station 0:Luca: (43.109762, -77.410156)
Station 1:Connor: (40.73902,-73.14815)
Station 2:Anthony: (39.7744, -76.679444)
numEvents=3
Access Number: 0            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-03-23T05:02:44.941     437.15487446     437.15486219    437.15488670   437.15748558     437.15747799    437.15749314   437.15607261     437.15605926    437.15608590
2020-03-23T05:02:45.441     437.15485399     437.15484168    437.15486628   437.15747291     437.15746527    437.15748052   437.15605034     437.15603691    437.15606371
2020-03-23T05:02:45.941     437.15483345     437.15482109    437.15484579   437.15746017     437.15745248    437.15746782   437.15602793     437.15601442    437.15604139
2020-03-23T05:02:46.441     437.15481283     437.15480042    437.15482521   437.15744734     437.15743961    437.15745505   437.15600539     437.15599180    437.15601893
2020-03-23T05:02:46.941     437.15479213     437.15477968    437.15480456   437.15743444     437.15742666    437.15744219   437.15598271     437.15596903    437.15599633
2020-03-23T05:02:47.441     437.15477136     437.15475885    437.15478383   437.15742146     437.15741363    437.15742926   437.15595989     437.15594613    437.15597360
2020-03-23T05:02:47.941     437.15475050     437.15473795    437.15476303   437.15740840     437.15740052    437.15741624   437.15593693     437.15592309    437.15595072
2020-03-23T05:02:48.441     437.15472957     437.15471697    437.15474214   437.15739525     437.15738733    437.15740315   437.15591384     437.15589991    437.15592771
2020-03-23T05:02:48.941     437.15470856     437.15469592    437.15472118   437.15738203     437.15737405    437.15738997   437.15589060     437.15587659    437.15590456
2020-03-23T05:02:49.441     437.15468747     437.15467478    437.15470013   437.15736872     437.15736070    437.15737671   437.15586722     437.15585313    437.15588127
2020-03-23T05:02:49.941     437.15466630     437.15465356    437.15467901   437.15735533     437.15734726    437.15736337   437.15584371     437.15582953    437.15585783
2020-03-23T05:02:50.441     437.15464506     437.15463227    437.15465781   437.15734186     437.15733373    437.15734995   437.15582005     437.15580578    437.15583426
2020-03-23T05:02:50.941     437.15462373     437.15461090    437.15463654   437.15732830     437.15732013    437.15733644   437.15579625     437.15578190    437.15581054
2020-03-23T05:02:51.441     437.15460233     437.15458945    437.15461518   437.15731466     437.15730644    437.15732285   437.15577230     437.15575787    437.15578669
2020-03-23T05:02:51.941     437.15458085     437.15456792    437.15459375   437.15730094     437.15729266    437.15730918   437.15574822     437.15573369    437.15576268
