1.35	166.602	3089477.035	5.152	166.554	2714487.983	0.745	161.659	3154465.812	11.6
1.356	166.602	3088803.68	5.16	166.555	2713816.903	0.751	161.658	3153791.817	11.7
1.363	166.603	3088130.328	5.167	166.555	2713145.83	0.757	161.658	3153117.823	11.8
1.369	166.603	3087456.977	5.174	166.556	2712474.766	0.763	161.658	3152443.83	11.9
1.375	166.604	3086783.629	5.182	166.556	2711803.71	0.77	161.657	3151769.838	12
1.382	166.605	3086110.283	5.189	166.557	2711132.661	0.776	161.657	3151095.848	12.1
1.388	166.605	3085436.939	5.196	166.557	2710461.621	0.782	161.657	3150421.859	12.2
1.395	166.606	3084763.597	5.204	166.558	2709790.589	0.788	161.657	3149747.872	12.3
1.401	166.606	3084090.257	5.211	166.558	2709119.565	0.795	161.656	3149073.885	12.4
1.407	166.607	3083416.919	5.218	166.559	2708448.55	0.801	161.656	3148399.9	12.5
1.414	166.608	3082743.584	5.226	166.559	2707777.542	0.807	161.656	3147725.917	12.6
1.42	166.608	3082070.251	5.233	166.56	2707106.543	0.813	161.655	3147051.934	12.7
1.426	166.609	3081396.919	5.241	166.56	2706435.552	0.82	161.655	3146377.953	12.8
1.433	166.61	3080723.591	5.248	166.561	2705764.569	0.826	161.655	3145703.974	12.9
1.439	166.61	3080050.264	5.255	166.562	2705093.594	0.832	161.655	3145029.995	13
1.446	166.611	3079376.939	5.263	166.562	2704422.627	0.838	161.654	3144356.018	13.1
1.452	166.611	3078703.617	5.27	166.563	2703751.669	0.845	161.654	3143682.043	13.2
1.458	166.612	3078030.297	5.278	166.563	2703080.719	0.851	161.654	3143008.069	13.3
1.465	166.613	3077356.979	5.285	166.564	2702409.777	0.857	161.653	3142334.096	13.4
1.471	166.613	3076683.664	5.292	166.564	2701738.844	0.863	161.653	3141660.124	13.5
1.478	166.614	3076010.35	5.3	166.565	2701067.919	0.87	161.653	3140986.154	13.6
1.484	166.615	3075337.039	5.307	166.565	2700397.002	0.876	161.653	3140312.186	13.7
1.49	166.615	3074663.731	5.315	166.566	2699726.093	0.882	161.652	3139638.219	13.8
1.497	166.616	3073990.424	5.322	166.566	2699055.193	0.889	161.652	3138964.253	13.9
1.503	166.616	3073317.12	5.329	166.567	2698384.301	0.895	161.652	3138290.288	14
1.51	166.617	3072643.818	5.337	166.568	2697713.418	0.901	161.651	3137616.326	14.1
1.516	166.618	3071970.518	5.344	166.568	2697042.543	0.907	161.651	3136942.364	14.2
1.522	166.618	3071297.221	5.352	166.569	2696371.676	0.914	161.651	3136268.404	14.3
1.529	166.619	3070623.926	5.359	166.569	2695700.818	0.92	161.651	3135594.446	14.4
1.535	166.62	3069950.634	5.366	166.57	2695029.968	0.926	161.65	3134920.489	14.5
1.542	166.62	3069277.343	5.374	166.57	2694359.126	0.932	161.65	3134246.533	14.6
1.548	166.621	3068604.056	5.381	166.571	2693688.293	0.939	161.65	3133572.579	14.7
1.554	166.621	3067930.77	5.389	166.571	2693017.469	0.945	161.649	3132898.627	14.8
1.561	166.622	3067257.487	5.396	166.572	2692346.653	0.951	161.649	3132224.676	14.9
1.567	166.623	3066584.206	5.403	166.573	2691675.845	0.958	161.649	3131550.726	15
1.574	166.623	3065910.928	5.411	166.573	2691005.046	0.964	161.648	3130876.778	15.1
1.58	166.624	3065237.652	5.418	166.574	2690334.256	0.97	161.648	3130202.832	15.2
1.587	166.625	3064564.378	5.426	166.574	2689663.474	0.976	161.648	3129528.887	15.3
1.593	166.625	3063891.107	5.433	166.575	2688992.7	0.983	161.648	3128854.944	15.4
1.599	166.626	3063217.838	5.441	166.575	2688321.935	0.989	161.647	3128181.002	15.5
1.606	166.626	3062544.572	5.448	166.576	2687651.179	0.995	161.647	3127507.062	15.6
1.612	166.627	3061871.308	5.456	166.576	2686980.431	1.002	161.647	3126833.123	15.7
1.619	166.628	3061198.047	5.463	166.577	2686309.692	1.008	161.646	3126159.186	15.8
1.625	166.628	3060524.788	5.47	166.577	2685638.962	1.014	161.646	3125485.251	15.9
1.632	166.629	3059851.531	5.478	166.578	2684968.24	1.02	161.646	3124811.317	16
